2018-11-26 12:49:03 ([::1]:54855 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 13:00:48 ([::1]:54952 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 13:16:32 ([::1]:55004 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 13:16:41 ([::1]:55005 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 13:16:41 ([::1]:55006 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 13:16:41 ([::1]:55007 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 13:16:47 ([::1]:55008 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 13:49:44 ([::1]:55218 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 13:56:57 ([::1]:55428 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:02:08 ([::1]:55503 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:02:52 ([::1]:55511 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:04:42 ([::1]:55527 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:06:04 ([::1]:55538 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:07:46 ([::1]:55555 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:17:42 ([::1]:55720 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:17:43 ([::1]:55721 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:17:48 ([::1]:55722 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:18:18 ([::1]:55724 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:19:18 ([::1]:55730 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:22:41 ([::1]:55762 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 14:25:18 ([::1]:55778 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:56:45 ([::1]:50448 -> GET /login) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:56:45 ([::1]:50449 -> GET /css/normalize.css) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:56:45 ([::1]:50448 -> GET /css/font.css) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:56:45 ([::1]:50452 -> GET /js/libs/jquery/2.1.1/jquery.min.js) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:56:45 ([::1]:50453 -> GET /js/site.js) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:56:45 ([::1]:50450 -> GET /css/skeleton.css) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:56:45 ([::1]:50451 -> GET /css/custom.css) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:56:56 ([::1]:50451 -> GET /css/berry-default.css) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:57:01 ([::1]:50451 -> GET /admin/users) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:57:06 ([::1]:50451 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:57:32 ([::1]:50451 -> GET /login) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:57:41 ([::1]:50451 -> POST /login) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:57:41 ([::1]:50451 -> GET /login) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:57:47 ([::1]:50451 -> POST /login) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:57:47 ([::1]:50451 -> GET /login) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:57:47 ([::1]:50451 -> GET /admin) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
2018-11-26 22:57:49 ([::1]:50451 -> GET /admin/users/groups) [User Agent: 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36']
